,_id,azienda,link,luogo,titolo
0,a_176c062cc9a6a797804c21e541279621,Randstad,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Stage curricolare Sales Analyst
1,a_b6e4b1b085a30809373fe6edc18838f6,Difa Cooper S.p.A.,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",BUSINESS ANALYST
2,a_d1aea5ea5ef0794ba0055979842aad0c,Page Personnel,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",CATEGORIE PROTETTE - Business Analyst/Consultant
3,a_42dd69b095e34b78a89ab27193248008,Randstad,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Flero, Brescia
",back office analyst
4,a_80fae76323cb3a0529602883846ce437,Randstad,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Bologna
",Business Analyst
5,a_db6c9031005a899cea326bb152ebaf4c,Randstad,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Faenza, Ravenna
",business analyst
6,a_e40cbd1dda80b0b08999ea6e215b85a1,Randstad,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Aml Analyst
7,a_b4d9a7750b14cbb5c07a612247302ce7,Randstad,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Coriano, Rimini
",tirocinio data analyst
8,a_7fced1a44a600257dba13bf137d0efe1,Lovati & Associati,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Italia
",SALES ANALYST ITALIA - SETTORE FOOD - ALIMENTARE FRESCO
9,a_d29bbf4974543de46d1d024a7702b6a3,Deloitte,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Junior Data Analyst - Milano
10,a_dc29c8a724b695d2caae27839722a3b8,Deloitte,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",JUNIOR DATA ANALYST - MILANO
11,a_d68bb5fe3d2b885be8d28258ca325e46,Nextar,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Roma
",Junior Data Analyst
12,a_521486eaf6289b5f38213d006117f3de,Intesa Sanpaolo,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Torino
",Risk Analyst - Stage
13,a_9b4436255560a2c83c034cbd9576f04c,Acciai Speciali Terni Spa,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Terni
",Stage Data Analyst – Ufficio Acquisti
14,a_1241daab1cc7390838a99ab2b97eb0a2,Intesa Sanpaolo,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Torino
",Validazione Interna Analyst
15,a_f2792e02ca0f5d82bc392ae8fba43cef,MAW,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Udine
",BI ANALYST
